BANKRUPTID;STARTDATE
390738;2020-09-07
320950;2020-09-07
299800;2020-09-06
310658;2020-09-06
372598;2020-09-06
406415;2020-09-06
406401;2020-09-06
406399;2020-09-06
406400;2020-09-06
406337;2020-09-06
406364;2020-09-06
406349;2020-09-06
406398;2020-09-06
406417;2020-09-06
406395;2020-09-06
406377;2020-09-06
406394;2020-09-06
406352;2020-09-06
406367;2020-09-06
406358;2020-09-06
406388;2020-09-06
406354;2020-09-06
406385;2020-09-06
406404;2020-09-06
406339;2020-09-06
406373;2020-09-06
406357;2020-09-06
406403;2020-09-06
406386;2020-09-06
406348;2020-09-06
406410;2020-09-06
406356;2020-09-06
406346;2020-09-06
406365;2020-09-06
406375;2020-09-06
406379;2020-09-06
406363;2020-09-06
406371;2020-09-06
406361;2020-09-06
406374;2020-09-06
406353;2020-09-06
406369;2020-09-06
406341;2020-09-06
406409;2020-09-06
406413;2020-09-06
406335;2020-09-06
406362;2020-09-06
406345;2020-09-06
406391;2020-09-06
406383;2020-09-06
406408;2020-09-06
406360;2020-09-06
406368;2020-09-06
406402;2020-09-06
406366;2020-09-06
406382;2020-09-06
406396;2020-09-06
406376;2020-09-06
406387;2020-09-06
406380;2020-09-06
406351;2020-09-06
406381;2020-09-06
406359;2020-09-06
406389;2020-09-06
406370;2020-09-06
406392;2020-09-06
406384;2020-09-06
406390;2020-09-06
406347;2020-09-06
406407;2020-09-06
406336;2020-09-06
406338;2020-09-06
406334;2020-09-05
406312;2020-09-05
406237;2020-09-05
406330;2020-09-05
406314;2020-09-05
406297;2020-09-05
406287;2020-09-05
406252;2020-09-05
406310;2020-09-05
406261;2020-09-05
406271;2020-09-05
406282;2020-09-05
406301;2020-09-05
406285;2020-09-05
406324;2020-09-05
406260;2020-09-05
406236;2020-09-05
406308;2020-09-05
406239;2020-09-05
406309;2020-09-05
406244;2020-09-05
406270;2020-09-05
399036;2020-09-05
406328;2020-09-05
406322;2020-09-05
406288;2020-09-05
406320;2020-09-05
406238;2020-09-05
406304;2020-09-05
406267;2020-09-05
406323;2020-09-05
406316;2020-09-05
406232;2020-09-05
406262;2020-09-05
406259;2020-09-05
406246;2020-09-05
406307;2020-09-05
406294;2020-09-05
406311;2020-09-05
406318;2020-09-05
406273;2020-09-05
406317;2020-09-05
406279;2020-09-05
406242;2020-09-05
406274;2020-09-05
406332;2020-09-05
406315;2020-09-05
406247;2020-09-05
406263;2020-09-05
406269;2020-09-05
406333;2020-09-05
406243;2020-09-05
406331;2020-09-05
404879;2020-09-05
406292;2020-09-05
406306;2020-09-05
406326;2020-09-05
406290;2020-09-05
406245;2020-09-05
406256;2020-09-05
406321;2020-09-05
406241;2020-09-05
406233;2020-09-05
406325;2020-09-05
406250;2020-09-05
406265;2020-09-05
406258;2020-09-05
406235;2020-09-05
406280;2020-09-05
406305;2020-09-05
406255;2020-09-05
406268;2020-09-05
406300;2020-09-05
406327;2020-09-05
406302;2020-09-05
406303;2020-09-05
406275;2020-09-05
406276;2020-09-05
406240;2020-09-05
406234;2020-09-05
404427;2020-09-05
347153;2020-09-05
349722;2020-09-05
329763;2020-09-05
361592;2020-09-04
91643;2020-09-04
114404;2020-09-04
329848;2020-09-04
301348;2020-09-04
278708;2020-09-04
300925;2020-09-04
307033;2020-09-04
357479;2020-09-04
222894;2020-09-04
307667;2020-09-04
402994;2020-09-04
355727;2020-09-04
319223;2020-09-04
293258;2020-09-04
314594;2020-09-04
246849;2020-09-04
219022;2020-09-04
300925;2020-09-04
375994;2020-09-04
307667;2020-09-04
332182;2020-09-04
288483;2020-09-04
405721;2020-09-04
405934;2020-09-04
405841;2020-09-04
405800;2020-09-04
405994;2020-09-04
406134;2020-09-04
405756;2020-09-04
405713;2020-09-04
405677;2020-09-04
405668;2020-09-04
405627;2020-09-04
405593;2020-09-04
405954;2020-09-04
405585;2020-09-04
405583;2020-09-04
406195;2020-09-04
406123;2020-09-04
405940;2020-09-04
405945;2020-09-04
406004;2020-09-04
405997;2020-09-04
405292;2020-09-04
406002;2020-09-04
405577;2020-09-04
406120;2020-09-04
404230;2020-09-04
405569;2020-09-04
405812;2020-09-04
406199;2020-09-04
406016;2020-09-04
405873;2020-09-04
405650;2020-09-04
405717;2020-09-04
405657;2020-09-04
405688;2020-09-04
405966;2020-09-04
405867;2020-09-04
405637;2020-09-04
405885;2020-09-04
405644;2020-09-04
406056;2020-09-04
405747;2020-09-04
405678;2020-09-04
406048;2020-09-04
405880;2020-09-04
405847;2020-09-04
405633;2020-09-04
406042;2020-09-04
406225;2020-09-04
406231;2020-09-04
406045;2020-09-04
405826;2020-09-04
405791;2020-09-04
405909;2020-09-04
405881;2020-09-04
406226;2020-09-04
405906;2020-09-04
405818;2020-09-04
405973;2020-09-04
